央视频道,#genre#
贵州卫视,http://119.123.178.255:8086/hls/143/index.m3u8
广西卫视,http://119.123.178.255:8086/hls/48/index.m3u8
宁夏卫视,http://119.123.178.225:8086/hls/155/index.m3u8
青海卫视,http://119.123.178.255:8086/hls/149/index.m3u8
甘肃卫视,http://119.123.178.225:8086/hls/157/index.m3u8
西藏卫视,http://119.123.178.225:8086/hls/152/index.m3u8
西藏卫视,http://120.238.94.82:9901/tsfile/live/1092_1.m3u8?key=txiptv
新疆卫视,http://120.238.94.82:9901/tsfile/live/1093_1.m3u8?key=txiptv
新疆卫视,http://119.123.178.225:8086/hls/153/index.m3u8

兵团卫视,http://120.238.94.82:9901/tsfile/live/1094_1.m3u8?key=txiptv
海江卫视,http://120.238.94.82:9901/tsfile/live/1095_1.m3u8?key=txiptv
宁夏卫视,http://120.238.94.82:9901/tsfile/live/1096_1.m3u8?key=txiptv

地方频道,#genre#
五华1,http://120.238.94.82:9901/tsfile/live/1000_1.m3u8?key=txiptv
梅州1,http://120.238.94.82:9901/tsfile/live/1002_1.m3u8?key=txiptv
梅州2,http://120.238.94.82:9901/tsfile/live/1003_1.m3u8?key=txiptv
梅州影视,http://120.238.94.82:9901/tsfile/live/1004_1.m3u8?key=txiptv
梅州影视,http://120.238.94.82:9901/tsfile/live/1006_1.m3u8?key=txiptv
梅州影视,http://120.238.94.82:9901/tsfile/live/1090_1.m3u8?key=txiptv
梅州导视,http://120.238.94.82:9901/tsfile/live/1047_1.m3u8?key=txiptv
梅州导视,http://120.238.94.82:9901/tsfile/live/1048_1.m3u8?key=txiptv
广东民生,http://119.123.178.255:8086/hls/39/index.m3u8
广东珠江,http://120.238.94.82:9901/tsfile/live/1010_1.m3u8?key=txiptv
广东珠江,http://119.123.178.255:8086/hls/47/index.m3u8
广东公共,http://120.238.94.82:9901/tsfile/live/1011_1.m3u8?key=txiptv
广东体育,http://120.238.94.82:9901/tsfile/live/1012_1.m3u8?key=txiptv
广东体育,http://119.123.178.255:8086/hls/42/index.m3u8
广东新闻,http://120.238.94.82:9901/tsfile/live/1013_1.m3u8?key=txiptv
广东新闻,http://119.123.178.255:8086/hls/45/index.m3u8
广东影视,http://120.238.94.82:9901/tsfile/live/1016_1.m3u8?key=txiptv
广东影视,http://119.123.178.255:8086/hls/46/index.m3u8
广东少儿,http://120.238.94.82:9901/tsfile/live/1017_1.m3u8?key=txiptv
广东少儿,http://119.123.178.255:8086/hls/40/index.m3u8
经济科教,http://120.238.94.82:9901/tsfile/live/1014_1.m3u8?key=txiptv
经济科教,http://119.123.178.255:8086/hls/63/index.m3u8
蕉岭综合,http://120.238.94.82:9901/tsfile/live/1020_1.m3u8?key=txiptv
丰顺综合,http://120.238.94.82:9901/tsfile/live/1025_1.m3u8?key=txiptv
CCTN,http://120.238.94.82:9901/tsfile/live/1043_1.m3u8?key=txiptv
珠江电影,http://120.238.94.82:9901/tsfile/live/1049_1.m3u8?key=txiptv
CHC家庭影院,http://120.238.94.82:9901/tsfile/live/1051_1.m3u8?key=txiptv
CHC动作电影,http://120.238.94.82:9901/tsfile/live/1052_1.m3u8?key=txiptv
CHC影迷电影,http://120.238.94.82:9901/tsfile/live/1053_1.m3u8?key=txiptv
金鹰卡通,http://120.238.94.82:9901/tsfile/live/1061_1.m3u8?key=txiptv
劲爆体育,http://120.238.94.82:9901/tsfile/live/1086_1.m3u8?key=txiptv
岭南戏曲,http://120.238.94.82:9901/tsfile/live/1091_1.m3u8?key=txiptv
嘉佳卡通,http://120.238.94.82:9901/tsfile/live/1097_1.m3u8?key=txiptv
中国天气,http://120.238.94.82:9901/tsfile/live/1099_1.m3u8?key=txiptv

其他,#genre#
华数,http://119.123.178.255:8086/hls/78/index.m3u8
