斯玛特,#genre#
国家地理,http://192.168.2.2:8080/stv.php?id=natgeohd_twn
野生动物,http://192.168.2.2:8080/stv.php?id=natgeowild_twn
地理野生,http://192.168.2.2:8080/stv.php?id=natgeowildtamil_raj
EYETV戏剧,http://192.168.2.2:8080/stv.php?id=eyetvxiju_twn
好莱坞电影,http://192.168.2.2:8080/stv.php?id=hollywoodmovies_twn
爱尔达体育2,http://192.168.2.2:8080/stv.php?id=eltasport2_twn
爱尔达体育3,http://192.168.2.2:8080/stv.php?id=eltasport3_twn
GOODTV真理,http://192.168.2.2:8080/stv.php?id=good2_twn
CI,http://192.168.2.2:8080/stv.php?id=ci_twn
Discovery HD,http://192.168.2.2:8080/stv.php?id=discoveryhd_twn
NatGeo HD,http://192.168.2.2:8080/stv.php?id=Natgeo
Fashion TV,http://192.168.2.2:8080/stv.php?id=fashiontv_twn
History,http://192.168.2.2:8080/stv.php?id=History
BBC Earth HD,http://192.168.2.2:8080/stv.php?id=bbcearth_twn
BBC Earth Lifestyle,http://192.168.2.2:8080/stv.php?id=bbclifestyle_twn
MTV Live,http://192.168.2.2:8080/stv.php?id=mtvhd_twn
NatGeo Wild HD,http://192.168.2.2:8080/stv.php?id=Natgeowild
TLC,http://192.168.2.2:8080/stv.php?id=Tlc
Sun TV HD,http://192.168.2.2:8080/stv.php?id=Suntv
Star Vijay,http://192.168.2.2:8080/stv.php?id=Starvijay
Sun Music,http://192.168.2.2:8080/stv.php?id=Sunmusic
Astro Sunlife,http://192.168.2.2:8080/stv.php?id=Sunlife
Astro Vaanavil,http://192.168.2.2:8080/stv.php?id=Vaanavil
Zee Tamil,http://192.168.2.2:8080/stv.php?id=Zeetamil
Zee Business,http://192.168.2.2:8080/stv.php?id=Zeebusiness
News 18 Tamil,http://192.168.2.2:8080/stv.php?id=news18tamil_raj
Adithya,http://192.168.2.2:8080/stv.php?id=Adithya
Makkal TV,http://192.168.2.2:8080/stv.php?id=Makkaltv
Zee Action,http://192.168.2.2:8080/stv.php?id=Zeeaction
KTV UK,http://192.168.2.2:8080/stv.php?id=ktvuk_tamil
Zee TV HD,http://192.168.2.2:8080/stv.php?id=Zeetvhd Zee
Cinema HD,http://192.168.2.2:8080/stv.php?id=Zeecinemahd
Color HD,http://192.168.2.2:8080/stv.php?id=Colorhd
Picture HD,http://192.168.2.2:8080/stv.php?id=Npicture Zee
Asianet,http://192.168.2.2:8080/stv.php?id=asianet_raj
Asianet News,http://192.168.2.2:8080/stv.php?id=asianetnews_raj
Times Now,http://192.168.2.2:8080/stv.php?id=timesnow_mega
DiscoveryWorld Tamil,http://192.168.2.2:8080/stv.php?id=discoveryworldtam_raj
History Tamil,http://192.168.2.2:8080/stv.php?id=historytam_raj
NatGeo Tamil,http://192.168.2.2:8080/stv.php?id=natgeotamil_raj
Sony Yay Tamil,http://192.168.2.2:8080/stv.php?id=sonyyaytam_raj
Sun TV India,http://192.168.2.2:8080/stv.php?id=suntv_raj
Starmaa HD,http://192.168.2.2:8080/stv.php?id=starmaa_raj
Starmaa Movies HD,http://192.168.2.2:8080/stv.php?id=starmaamovies_raj
Bollyone,http://192.168.2.2:8080/stv.php?id=Bollyone
TVRI National,http://192.168.2.2:8080/stv.php?id=TVRI
RCTI,http://192.168.2.2:8080/stv.php?id=Rcti Kompass
TV,http://192.168.2.2:8080/stv.php?id=Kompass
Berita Satu,http://192.168.2.2:8080/stv.php?id=BeritaSatu_eko
IndosiarHD,http://192.168.2.2:8080/stv.php?id=Indosiar
AnTV,http://192.168.2.2:8080/stv.php?id=Antv
MNC TV,http://192.168.2.2:8080/stv.php?id=Mnctv
Trans 7,http://192.168.2.2:8080/stv.php?id=Trans7_eko
Transtv,http://192.168.2.2:8080/stv.php?id=Transtv
JTV,http://192.168.2.2:8080/stv.php?id=JTV_eko Metro
TV,http://192.168.2.2:8080/stv.php?id=metrotv_eko
Cinemax,http://192.168.2.2:8080/stv.php?id=Cinemax
SCTV,http://192.168.2.2:8080/stv.php?id=SCTV
Tvone,http://192.168.2.2:8080/stv.php?id=Tvone
TVMU,http://192.168.2.2:8080/stv.php?id=TVMU_eko
GTV,http://192.168.2.2:8080/stv.php?id=Gtv
RTV,http://192.168.2.2:8080/stv.php?id=Rtv
Jak TV,http://192.168.2.2:8080/stv.php?id=JakTV
iNews TV,http://192.168.2.2:8080/stv.php?id=Inewstv
Daai TV,http://192.168.2.2:8080/stv.php?id=DaaiTV
Animax,http://192.168.2.2:8080/stv.php?id=Animax
EWTN,http://192.168.2.2:8080/stv.php?id=Ewtn
Tawaf TV,http://192.168.2.2:8080/stv.php?id=TawafTV
Muslim TV,http://192.168.2.2:8080/stv.php?id=MuslimTV
Music TV,http://192.168.2.2:8080/stv.php?id=MusicTV
Lifestyle&Fashion,http://192.168.2.2:8080/stv.php?id=Lifestyle
Hits,http://192.168.2.2:8080/stv.php?id=Hits Warner
TV,http://192.168.2.2:8080/stv.php?id=WarnerTV
SCM,http://192.168.2.2:8080/stv.php?id=Weishimovie
Thrill,http://192.168.2.2:8080/stv.php?id=Thrill Fight
Sports,http://192.168.2.2:8080/stv.php?id=Fs Beinsports
HitsMovie,http://192.168.2.2:8080/stv.php?id=Hitsmovie
tvN Movie,http://192.168.2.2:8080/stv.php?id=Tvnmovie
Celestial Movies HD,http://192.168.2.2:8080/stv.php?id=Celestialindo
Rock Actions,http://192.168.2.2:8080/stv.php?id=Rockaction
Rock Entertainment,http://192.168.2.2:8080/stv.php?id=Rockentertain
Baby TV Eng,http://192.168.2.2:8080/stv.php?id=Babytv
Momo TV,http://192.168.2.2:8080/stv.php?id=momo1_twn
MiaoMi,http://192.168.2.2:8080/stv.php?id=MiaoMi
Cartoon Network,http://192.168.2.2:8080/stv.php?id=Cn
Nickelodeon,http://192.168.2.2:8080/stv.php?id=Nickelodeon
Nick Jr,http://192.168.2.2:8080/stv.php?id=Nickjr
TV2,http://192.168.2.2:8080/stv.php?id=TV2
TV3,http://192.168.2.2:8080/stv.php?id=TV3
NTV7,http://192.168.2.2:8080/stv.php?id=NTV7
TV8,http://192.168.2.2:8080/stv.php?id=TV8
TV9,http://192.168.2.2:8080/stv.php?id=TV9
Warna,http://192.168.2.2:8080/stv.php?id=Warna-O
Ria,http://192.168.2.2:8080/stv.php?id=Ria-0
Al-Hijrah,http://192.168.2.2:8080/stv.php?id=Alhijrah
Al-Hijrah backup,http://192.168.2.2:8080/stv.php?id=Alhijrah_backup
Awani,http://192.168.2.2:8080/stv.php?id=Awani
Bernama,http://192.168.2.2:8080/stv.php?id=Bernama
Prima,http://192.168.2.2:8080/stv.php?id=Prima-0 Prima
Ceria,http://192.168.2.2:8080/stv.php?id=Ceria
Oasis,http://192.168.2.2:8080/stv.php?id=Oasis HBO
Hits HD,http://192.168.2.2:8080/stv.php?id=Hbohits
HBO HD,http://192.168.2.2:8080/stv.php?id=Hbo
Dreamworks,http://192.168.2.2:8080/stv.php?id=Dreamworks
Sensasi,http://192.168.2.2:8080/stv.php?id=Sensasi
Aura,http://192.168.2.2:8080/stv.php?id=Aura
Boo,http://192.168.2.2:8080/stv.php?id=Boo
Sony HD,http://192.168.2.2:8080/stv.php?id=SetOne
KBS World,http://192.168.2.2:8080/stv.php?id=KBS
TvN,http://192.168.2.2:8080/stv.php?id=TVN
AEC,http://192.168.2.2:8080/stv.php?id=AEC
华丽台 HD,http://192.168.2.2:8080/stv.php?id=Wlt
欢喜台 HD,http://192.168.2.2:8080/stv.php?id=Huahee
Astro QJ,http://192.168.2.2:8080/stv.php?id=Quanjia
爱奇艺 iQiyi,http://192.168.2.2:8080/stv.php?id=Qiyi
CNN backup,http://192.168.2.2:8080/stv.php?id=cnn_twn Celestial
Classic,http://192.168.2.2:8080/stv.php?id=Celestial2
CNBC,http://192.168.2.2:8080/stv.php?id=cnbc_twn
Arena,http://192.168.2.2:8080/stv.php?id=Arena
CNA,http://192.168.2.2:8080/stv.php?id=cna
BBC World News,http://192.168.2.2:8080/stv.php?id=bbcnews_twn
Goshop,http://192.168.2.2:8080/stv.php?id=Goshop
Axn HD,http://192.168.2.2:8080/stv.php?id=Axn Paramount
Network,http://192.168.2.2:8080/stv.php?id=Paramountnetwork
Astrol Kplus,http://192.168.2.2:8080/stv.php?id=Kplus Rock
Bloomberg News,http://192.168.2.2:8080/stv.php?id=bloomberg_twn
Al-Jazeera,http://192.168.2.2:8080/stv.php?id=aljazeera_twn
BolaArena 1,http://192.168.2.2:8080/stv.php?id=Bolaarena1
HBO_HD,http://192.168.2.2:8080/stv.php?id=hbohd_twn
HBO_HITS,http://192.168.2.2:8080/stv.php?id=hbohits_twn
CINEMAX,http://192.168.2.2:8080/stv.php?id=cinemax_twn
AXN Taiwan,http://192.168.2.2:8080/stv.php?id=axn_twn
Movies Now HD,http://192.168.2.2:8080/stv.php?id=moviesnow_raj
Star Movies HD,http://192.168.2.2:8080/stv.php?id=starmovies_raj
HBO Family,http://192.168.2.2:8080/stv.php?id=Hbofamily
Hits,http://192.168.2.2:8080/stv.php?id=Hits
Thrill,http://192.168.2.2:8080/stv.php?id=Thrill
Astrol Kplus,http://192.168.2.2:8080/stv.php?id=Kplus
Skynews,http://192.168.2.2:8080/stv.php?id=skynews_antik
ABC News,http://192.168.2.2:8080/stv.php?id=abcnews_glo
