香港频道,#genre# 
TNT Sports 4,http://kele666.serv00.net/Smart.php?id=tntsport4
Sony Ten 1,http://kele666.serv00.net/Smart.php?id=ten1_raj
Sony Ten 2,http://kele666.serv00.net/Smart.php?id=ten2_raj
Sony Ten 3,http://kele666.serv00.net/Smart.php?id=ten3_raj
SPOTV 1 HD,http://kele666.serv00.net/Smart.php?id=go_spotv
SPO TV 2,http://kele666.serv00.net/Smart.php?id=go_spotv2
Skysports F1,http://kele666.serv00.net/Smart.php?id=tiankongf1
Skysports Cricket,http://kele666.serv00.net/Smart.php?id=tiankongcricket
Skysports EPL,http://kele666.serv00.net/Smart.php?id=tiankongepl
Skysports Main Event,http://kele666.serv00.net/Smart.php?id=tiankongmain
Skysports News,http://kele666.serv00.net/Smart.php?id=tiankongnews
Skysports Mix,http://kele666.serv00.net/Smart.php?id=tiankongmix
爱尔达体育2台,http://kele666.serv00.net/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://kele666.serv00.net/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://kele666.serv00.net/Smart.php?id=Rugbypasstv
RTM Sports HD,http://kele666.serv00.net/Smart.php?id=Rtmsport
Arena,http://kele666.serv00.net/Smart.php?id=Arena
Arena 2,http://kele666.serv00.net/Smart.php?id=Arena2
BolaArena 1,http://kele666.serv00.net/Smart.php?id=Bolaarena1
BolaArena 2,http://kele666.serv00.net/Smart.php?id=Bolaarena2
Astro Beinsports 1,http://kele666.serv00.net/Smart.php?id=Astrobein1
Astro Beinsports 2,http://kele666.serv00.net/Smart.php?id=Astrobein2
Astro Beinsports 3,http://kele666.serv00.net/Smart.php?id=Astrobein3

台湾频道,#genre# 
TVBS News 新闻台,http://kele666.serv00.net/Smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://kele666.serv00.net/Smart.php?id=tvbshuanle_twn
TVBS HD,http://kele666.serv00.net/Smart.php?id=tvbs
中天新闻 HD,http://kele666.serv00.net/Smart.php?id=ctinews
中天娱乐 CTI Entertaiment,http://kele666.serv00.net/Smart.php?id=ctient
中天综合 CTI Metro,http://kele666.serv00.net/Smart.php?id=ctizhonghe
中天亚洲台,http://kele666.serv00.net/Smart.php?id=ctiasia_twn
台视 TTV HD,http://kele666.serv00.net/Smart.php?id=ttv_taiwan
台视新闻台,http://kele666.serv00.net/Smart.php?id=ttvnews_twn
台视综合台,http://kele666.serv00.net/Smart.php?id=ttvzhonghe
中视 HD,http://kele666.serv00.net/Smart.php?id=zhongshihd_twn
中视新闻台,http://kele666.serv00.net/Smart.php?id=zhongshinews_twn
民视 HD,http://kele666.serv00.net/Smart.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://kele666.serv00.net/Smart.php?id=ftvnew_taiwan
民视台湾台,http://kele666.serv00.net/Smart.php?id=ftvtaiwan_twn
华视 CTS HD,http://kele666.serv00.net/Smart.php?id=ctshd_twn
公视 CTV,http://kele666.serv00.net/Smart.php?id=ctv18_twn
八大第一 GTV First,http://kele666.serv00.net/Smart.php?id=badafirst
八大综合 GTV Metro,http://kele666.serv00.net/Smart.php?id=badazhonghe
八大戏剧 GTV Drama,http://kele666.serv00.net/Smart.php?id=badadrama
八大娱乐 GTV Entertainment,http://kele666.serv00.net/Smart.php?id=badaentertain
HBO_HD,http://kele666.serv00.net/Smart.php?id=hbohd_twn
HBO_HITS,http://kele666.serv00.net/Smart.php?id=hbohit_twn
Hollywood Movies,http://kele666.serv00.net/Smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://kele666.serv00.net/Smart.php?id=sanlitaiwan
三立戏剧台,http://kele666.serv00.net/Smart.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://kele666.serv00.net/Smart.php?id=sanlizhonghe
三立都会台,http://kele666.serv00.net/Smart.php?id=sanlidouhui
东森新闻 ETTV News,http://kele666.serv00.net/Smart.php?id=ettvnews
CINEMAX,http://kele666.serv00.net/Smart.php?id=cinemax_twn
东森综合 ETTV Metro,http://kele666.serv00.net/Smart.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://kele666.serv00.net/Smart.php?id=ettvdrama
东森超视,http://kele666.serv00.net/Smart.php?id=ettvsuper
东森财经新闻 ETTV Business,http://kele666.serv00.net/Smart.php?id=ettvcaijing_twn
寰宇财经,http://kele666.serv00.net/Smart.php?id=huanyutaiwan_twn
寰宇新闻台,http://kele666.serv00.net/Smart.php?id=huanyuxinwen_twn
公视2,http://kele666.serv00.net/Smart.php?id=ctv2_twn
大爱1台,http://kele666.serv00.net/Smart.php?id=daai_twn
非凡新闻台,http://kele666.serv00.net/Smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://kele666.serv00.net/Smart.php?id=lunghuaxiju_twn
龙华经典台,http://kele666.serv00.net/Smart.php?id=lunghuajingdian_twn
龙华偶像,http://kele666.serv00.net/Smart.php?id=lunghuaidol_twn
AXN Taiwan,http://kele666.serv00.net/Smart.php?id=axn_twn
靖天国际台,http://kele666.serv00.net/Smart.php?id=jingtianintl_twn
年代新闻,http://kele666.serv00.net/Smart.php?id=niandainews_twn
纬来日本台,http://kele666.serv00.net/Smart.php?id=videolandjapan
纬来电影台,http://kele666.serv00.net/Smart.php?id=videolandmovie
纬来体育台,http://kele666.serv00.net/Smart.php?id=videolandsport
纬来综合台,http://kele666.serv00.net/Smart.php?id=videolandzonghe
纬来育乐,http://kele666.serv00.net/Smart.php?id=videolandyule
纬来精彩,http://kele666.serv00.net/Smart.php?id=videolandspecial_twn
好消息 2,http://kele666.serv00.net/Smart.php?id=good2_twn
大爱2台,http://kele666.serv00.net/Smart.php?id=daai2_twn
亚洲美食,http://kele666.serv00.net/Smart.php?id=afc_twn
美食星球,http://kele666.serv00.net/Smart.php?id=foodplanet_twn
亚洲旅游 TLC Asia,http://kele666.serv00.net/Smart.php?id=tlc_twn
东森电影 ETTV Movie,http://kele666.serv00.net/Smart.php?id=ettvmovie
阿里郎 Arirang,http://kele666.serv00.net/Smart.php?id=arirang_twn
博斯运动 1,http://kele666.serv00.net/Smart.php?id=bosisport1_twn
博斯运动 2,http://kele666.serv00.net/Smart.php?id=bosisport2_twn
博斯高球2 HD,http://kele666.serv00.net/Smart.php?id=bosigolf2_twn
博斯网球 HD,http://kele666.serv00.net/Smart.php?id=bositennis_twn
东森洋片 ETTV Western,http://kele666.serv00.net/Smart.php?id=ettvwestern
龙华洋片 Lunghua Western,http://kele666.serv00.net/Smart.php?id=lunghuawestern_twn
博斯无限,http://kele666.serv00.net/Smart.php?id=bosiunlimited_twn
MTV Live,http://kele666.serv00.net/Smart.php?id=mtvhd_twn
龙详时代,http://kele666.serv00.net/Smart.php?id=lungxiangtime_twn
EYETV 旅游,http://kele666.serv00.net/Smart.php?id=eyetvtravel_twn
靖天卡通台,http://kele666.serv00.net/Smart.php?id=jingtiancartoon_twn
EYETV 戏剧,http://kele666.serv00.net/Smart.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://kele666.serv00.net/Smart.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://kele666.serv00.net/Smart.php?id=yoyo_twn
卫视电影台,http://kele666.serv00.net/Smart.php?id=weishimovie_twn
美亚电影,http://kele666.serv00.net/Smart.php?id=meiyamovie_twn
爱尔达影剧台,http://kele666.serv00.net/Smart.php?id=eltayingju_twn
爱尔达综合台,http://kele666.serv00.net/Smart.php?id=eltazonghe_twn
星卫电影,http://kele666.serv00.net/Smart.php?id=xingwei_movie
AFC 亚洲旅游台,http://kele666.serv00.net/Smart.php?id=asiatravel_twn

电影频道,#genre# 
Cinemax,http://kele666.serv00.net/Smart.php?id=Cinemax
Animax,http://kele666.serv00.net/Smart.php?id=Animax
Movies Now HD,http://kele666.serv00.net/Smart.php?id=moviesnow_raj
Star Movies HD,http://kele666.serv00.net/Smart.php?id=starmovies_raj
HBO Family,http://kele666.serv00.net/Smart.php?id=Hbofamily
Hits,http://kele666.serv00.net/Smart.php?id=Hits
Warner TV,http://kele666.serv00.net/Smart.php?id=WarnerTV
HBO HD,http://kele666.serv00.net/Smart.php?id=Hbo
HBO Signature,http://kele666.serv00.net/Smart.php?id=Hbosignature
HBO Hits,http://kele666.serv00.net/Smart.php?id=Hbohitshd
SCM,http://kele666.serv00.net/Smart.php?id=Weishimovie
Dreamworks,http://kele666.serv00.net/Smart.php?id=Dreamworks
Thrill,http://kele666.serv00.net/Smart.php?id=Thrill
Hits Movie,http://kele666.serv00.net/Smart.php?id=Hitsmovie
One,http://kele666.serv00.net/Smart.php?id=One
tvN Movie,http://kele666.serv00.net/Smart.php?id=Tvnmovie
Celestial Classic,http://kele666.serv00.net/Smart.php?id=Celestial2
Celestial Movies HD,http://kele666.serv00.net/Smart.php?id=Celestialindo
Axn HD,http://kele666.serv00.net/Smart.php?id=Axn
Paramount Network,http://kele666.serv00.net/Smart.php?id=Paramountnetwork
Astrol Kplus,http://kele666.serv00.net/Smart.php?id=Kplus
Rock Actions,http://kele666.serv00.net/Smart.php?id=Rockaction
Rock Entertainment,http://kele666.serv00.net/Smart.php?id=Rockentertain

记录频道,#genre# 
Natgeo_HD,http://kele666.serv00.net/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,http://kele666.serv00.net/Smart.php?id=natgeowild_twn
Animal_Planet,http://kele666.serv00.net/Smart.php?id=animalplanet_twn
Discovery Asia,http://kele666.serv00.net/Smart.php?id=discoverytwn_twn
CI,http://kele666.serv00.net/Smart.php?id=ci_twn
Discovery HD,http://kele666.serv00.net/Smart.php?id=discoveryhd_twn
NatGeo HD,http://kele666.serv00.net/Smart.php?id=Natgeo
Fashion TV,http://kele666.serv00.net/Smart.php?id=fashiontv_twn
History,http://kele666.serv00.net/Smart.php?id=History
BBC Earth HD,http://kele666.serv00.net/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://kele666.serv00.net/Smart.php?id=bbclifestyle_twn
NatGeo Wild HD,http://kele666.serv00.net/Smart.php?id=Natgeowild
Animal Planet (Eng),http://kele666.serv00.net/Smart.php?id=AnimalPlanet
TLC,http://kele666.serv00.net/Smart.php?id=Tlc
Foodnetwork Hd,http://kele666.serv00.net/Smart.php?id=Foodnetwork
HGTV,http://kele666.serv00.net/Smart.php?id=HGTV

新闻频道,#genre# 
Skynews,http://kele666.serv00.net/Smart.php?id=skynews_twn
ABC News,http://kele666.serv00.net/Smart.php?id=abcnews_glo
CBS HD,http://kele666.serv00.net/Smart.php?id=cbshd_glo
CBSN HD,http://kele666.serv00.net/Smart.php?id=cbsn_glo
France 24,http://kele666.serv00.net/Smart.php?id=france24_twn
DW (Deutsch),http://kele666.serv00.net/Smart.php?id=dw_twn
NHK World,http://kele666.serv00.net/Smart.php?id=nhkworld_japan
Fox News,http://kele666.serv00.net/Smart.php?id=foxnews_twn
CNN International,http://kele666.serv00.net/Smart.php?id=Cnn
CNN backup,http://kele666.serv00.net/Smart.php?id=cnn_twn
CNBC,http://kele666.serv00.net/Smart.php?id=cnbc_twn
CNA,http://kele666.serv00.net/Smart.php?id=cna
BBC World News,http://kele666.serv00.net/Smart.php?id=bbcnews_twn
BBC World News,http://kele666.serv00.net/Smart.php?id=Bbcnews
Bloomberg News,http://kele666.serv00.net/Smart.php?id=bloomberg_twn
Al-Jazeera,http://kele666.serv00.net/Smart.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,http://kele666.serv00.net/Smart.php?id=Babytv
CBeebies,http://kele666.serv00.net/Smart.php?id=Cbeebies
Kids TV,http://kele666.serv00.net/Smart.php?id=KidsTV
Momo TV,http://kele666.serv00.net/Smart.php?id=momo1_twn
Baby TV,http://kele666.serv00.net/Smart.php?id=babytv_twn
MiaoMi,http://kele666.serv00.net/Smart.php?id=MiaoMi
Cartoon Network,http://kele666.serv00.net/Smart.php?id=Cn
Nickelodeon,http://kele666.serv00.net/Smart.php?id=Nickelodeon
Nick Jr,http://kele666.serv00.net/Smart.php?id=Nickjr

新加坡频道,#genre# 
Channel 5,http://kele666.serv00.net/Smart.php?id=Channel5HD
Channel 8,http://kele666.serv00.net/Smart.php?id=Channel8HD
Suria,http://kele666.serv00.net/Smart.php?id=Suria
Channel U,http://kele666.serv00.net/Smart.php?id=ChannelU
Vasantham,http://kele666.serv00.net/Smart.php?id=Vasantham
CNA backup,http://kele666.serv00.net/Smart.php?id=cna_twn
MeWatch Ch 5,http://kele666.serv00.net/Smart.php?id=Mewatch_ch5
MeWatch Ch 8,http://kele666.serv00.net/Smart.php?id=Mewatch_ch8
MeWatch Ch U,http://kele666.serv00.net/Smart.php?id=Mewatch_chU
MeWatch Suria,http://kele666.serv00.net/Smart.php?id=Mewatch_Suria
MeWatch Vasantham,http://kele666.serv00.net/Smart.php?id=Mewatch_Vasantham
MeWatch CNA,http://kele666.serv00.net/Smart.php?id=Mewatch_cna

马来西亚频道,#genre# 
TV1,http://kele666.serv00.net/Smart.php?id=TV1
TV1 backup,http://kele666.serv00.net/Smart.php?id=TV1_backup
TV2,http://kele666.serv00.net/Smart.php?id=TV2
TV3,http://kele666.serv00.net/Smart.php?id=TV3
TV3 SD,http://kele666.serv00.net/Smart.php?id=TV3_mega
NTV7,http://kele666.serv00.net/Smart.php?id=NTV7
TV8,http://kele666.serv00.net/Smart.php?id=TV8
TV9,http://kele666.serv00.net/Smart.php?id=TV9
Ria,http://kele666.serv00.net/Smart.php?id=Ria-0
Ria-3,http://kele666.serv00.net/Smart.php?id=Ria_backup
Al-Hijrah,http://kele666.serv00.net/Smart.php?id=Alhijrah
Al-Hijrah backup,http://kele666.serv00.net/Smart.php?id=Alhijrah_backup
Awani,http://kele666.serv00.net/Smart.php?id=Awani
Bernama,http://kele666.serv00.net/Smart.php?id=Bernama
Prima,http://kele666.serv00.net/Smart.php?id=Prima-0
Prima backup,http://kele666.serv00.net/Smart.php?id=AAprima1
Prima backup 2,http://kele666.serv00.net/Smart.php?id=AAprima
Ceria,http://kele666.serv00.net/Smart.php?id=Ceria
Astro MTV,http://kele666.serv00.net/Smart.php?id=AstroMTV
Mecca Live HD,http://kele666.serv00.net/Smart.php?id=quran_mido
Madinah HD,http://kele666.serv00.net/Smart.php?id=sunnah_mido
Oasis,http://kele666.serv00.net/Smart.php?id=Oasis
Siar,http://kele666.serv00.net/Smart.php?id=Siar
Citra,http://kele666.serv00.net/Smart.php?id=AAcitra
Citra backup,http://kele666.serv00.net/Smart.php?id=AAcitra1
Sensasi,http://kele666.serv00.net/Smart.php?id=Sensasi
Aura,http://kele666.serv00.net/Smart.php?id=Aura
Rania,http://kele666.serv00.net/Smart.php?id=Rania
KBS World,http://kele666.serv00.net/Smart.php?id=KBS
Boo,http://kele666.serv00.net/Smart.php?id=Boo
Awesome TV,http://kele666.serv00.net/Smart.php?id=Dsangat
Astro Sonypix,http://kele666.serv00.net/Smart.php?id=Asonypix
Sony HD,http://kele666.serv00.net/Smart.php?id=SetOne
TvN,http://kele666.serv00.net/Smart.php?id=TVN
AEC,http://kele666.serv00.net/Smart.php?id=AEC
华丽台 HD （Wah Lai Toi）,http://kele666.serv00.net/Smart.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://kele666.serv00.net/Smart.php?id=Huahee
Astro QJ,http://kele666.serv00.net/Smart.php?id=Quanjia
TVB Jade,http://kele666.serv00.net/Smart.php?id=Tvbjade
TVB Asia,http://kele666.serv00.net/Smart.php?id=Tvbasia
TVB Entertainment,http://kele666.serv00.net/Smart.php?id=Tvbentertainment
TVB Classic,http://kele666.serv00.net/Smart.php?id=Tvbclassic
AOD,http://kele666.serv00.net/Smart.php?id=Aodhd
TVB 星河台 Xing He,http://kele666.serv00.net/Smart.php?id=Xinhe
爱奇艺 iQiyi,http://kele666.serv00.net/Smart.php?id=Qiyi
Goshop,http://kele666.serv00.net/Smart.php?id=Goshop
Celestial Movies HD,http://kele666.serv00.net/Smart.php?id=Celestial
Astro LOL,http://kele666.serv00.net/Smart.php?id=Astro_lol
Astro Rusi,http://kele666.serv00.net/Smart.php?id=Rusi
WION,http://kele666.serv00.net/Smart.php?id=Wion
RTM Asean,http://kele666.serv00.net/Smart.php?id=Rtmasean

印尼频道,#genre# 
TVRI National,http://kele666.serv00.net/Smart.php?id=TVRI
RCTI,http://kele666.serv00.net/Smart.php?id=Rcti
Kompass TV,http://kele666.serv00.net/Smart.php?id=Kompass
Berita Satu,http://kele666.serv00.net/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://kele666.serv00.net/Smart.php?id=Indosiar
AnTV,http://kele666.serv00.net/Smart.php?id=Antv
MNC TV,http://kele666.serv00.net/Smart.php?id=Mnctv
Trans 7,http://kele666.serv00.net/Smart.php?id=Trans7_eko
Transtv,http://kele666.serv00.net/Smart.php?id=Transtv
JTV,http://kele666.serv00.net/Smart.php?id=JTV_eko
Metro TV,http://kele666.serv00.net/Smart.php?id=metrotv_eko
SCTV,http://kele666.serv00.net/Smart.php?id=SCTV
Tvone,http://kele666.serv00.net/Smart.php?id=Tvone
TVMU,http://kele666.serv00.net/Smart.php?id=TVMU_eko
GTV,http://kele666.serv00.net/Smart.php?id=Gtv
RTV,http://kele666.serv00.net/Smart.php?id=Rtv
Jak TV,http://kele666.serv00.net/Smart.php?id=JakTV
iNews TV,http://kele666.serv00.net/Smart.php?id=Inewstv
Daai TV,http://kele666.serv00.net/Smart.php?id=DaaiTV
Net TV,http://kele666.serv00.net/Smart.php?id=NetTV
EWTN,http://kele666.serv00.net/Smart.php?id=Ewtn
AlQuran AlKareem,http://kele666.serv00.net/Smart.php?id=AlQuran
Tawaf TV,http://kele666.serv00.net/Smart.php?id=TawafTV
Vision Prime,http://kele666.serv00.net/Smart.php?id=VisionPrime
Muslim TV,http://kele666.serv00.net/Smart.php?id=MuslimTV
Music TV,http://kele666.serv00.net/Smart.php?id=MusicTV
Lifestyle&Fashion,http://kele666.serv00.net/Smart.php?id=Lifestyle
Entertain,http://kele666.serv00.net/Smart.php?id=Entertain

印度频道,#genre# 
Sun TV HD,http://kele666.serv00.net/Smart.php?id=Suntv
Star Vijay,http://kele666.serv00.net/Smart.php?id=Starvijay
Colors Tamil,http://kele666.serv00.net/Smart.php?id=Colorstam
Sun Music,http://kele666.serv00.net/Smart.php?id=Sunmusic
Astro Sunlife,http://kele666.serv00.net/Smart.php?id=Sunlife
Astro Vaanavil,http://kele666.serv00.net/Smart.php?id=Vaanavil
Zee Tamil,http://kele666.serv00.net/Smart.php?id=Zeetamil
Zee Business,http://kele666.serv00.net/Smart.php?id=Zeebusiness
News 18 Tamil,http://kele666.serv00.net/Smart.php?id=news18tamil_raj
Adithya,http://kele666.serv00.net/Smart.php?id=Adithya
Makkal TV,http://kele666.serv00.net/Smart.php?id=Makkaltv
Zee Action,http://kele666.serv00.net/Smart.php?id=Zeeaction
Astro KTV,http://kele666.serv00.net/Smart.php?id=Astroktv
Zee TV HD,http://kele666.serv00.net/Smart.php?id=Zeetvhd
Zee Cinema HD,http://kele666.serv00.net/Smart.php?id=Zeecinemahd
Color HD,http://kele666.serv00.net/Smart.php?id=Colorhd
Starplus HD,http://kele666.serv00.net/Smart.php?id=Starplushd
Picture HD,http://kele666.serv00.net/Smart.php?id=Npicture
Zee News,http://kele666.serv00.net/Smart.php?id=Zeenews
Asianet,http://kele666.serv00.net/Smart.php?id=asianet_raj
Asianet News,http://kele666.serv00.net/Smart.php?id=asianetnews_raj
Discovery World Tamil,http://kele666.serv00.net/Smart.php?id=discoveryworldtam_raj
History Tamil,http://kele666.serv00.net/Smart.php?id=historytam_raj
NatGeo Tamil,http://kele666.serv00.net/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://kele666.serv00.net/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://kele666.serv00.net/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,http://kele666.serv00.net/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,http://kele666.serv00.net/Smart.php?id=sonyyaytam_raj
Sun TV India,http://kele666.serv00.net/Smart.php?id=suntv_raj
Starmaa HD,http://kele666.serv00.net/Smart.php?id=starmaa_raj
Starmaa Movies HD,http://kele666.serv00.net/Smart.php?id=starmaamovies_raj
Bollyone,http://kele666.serv00.net/Smart.php?id=Bollyone
Vijay Super,http://kele666.serv00.net/Smart.php?id=vijaysuper_raj
Vellithirai,http://kele666.serv00.net/Smart.php?id=Vellithirai

泰国频道,#genre# 
Channel 3 Thailand,http://kele666.serv00.net/Smart.php?id=ch3_pat
Channel 5 Thailand,http://kele666.serv00.net/Smart.php?id=ch5_pat
Channel 7 Thailand,http://kele666.serv00.net/Smart.php?id=ch7_pat
MCOT HD Thailand-1,http://kele666.serv00.net/Smart.php?id=mcot_pat
PPTV Thailand1,http://kele666.serv00.net/Smart.php?id=pptv_pat
Thai Thai,http://kele666.serv00.net/Smart.php?id=thaithai_pat
Amarin,http://kele666.serv00.net/Smart.php?id=amarin_pat
Ch 8,http://kele666.serv00.net/Smart.php?id=ch8_pat
GmmOne,http://kele666.serv00.net/Smart.php?id=gmmone_pat
Mono,http://kele666.serv00.net/Smart.php?id=mono_pat
Thairath,http://kele666.serv00.net/Smart.php?id=thairath_pat
tpbs,http://kele666.serv00.net/Smart.php?id=tpbs_pat
Workpoint,http://kele666.serv00.net/Smart.php?id=workpoint_pat
Gmm Channel,http://kele666.serv00.net/Smart.php?id=gmmchannel_pat
Nation,http://kele666.serv00.net/Smart.php?id=nation_pat
Tnn24,http://kele666.serv00.net/Smart.php?id=tnn24_pat
Nbt,http://kele666.serv00.net/Smart.php?id=nbt_pat
New,http://kele666.serv00.net/Smart.php?id=new_pat
TPTV,http://kele666.serv00.net/Smart.php?id=tptv_pat

英国频道,#genre# 
BBC 1,http://kele666.serv00.net/Smart.php?id=bbc1_antik
BBC 2,http://kele666.serv00.net/Smart.php?id=bbc2_antik
CBBC,http://kele666.serv00.net/Smart.php?id=cbbc_antik
More4,http://kele666.serv00.net/Smart.php?id=more4_antik
Freesports,http://kele666.serv00.net/Smart.php?id=freesports_antik
Pick TV,http://kele666.serv00.net/Smart.php?id=picktv_antik
itv 1,http://kele666.serv00.net/Smart.php?id=itv1_antik
itv 2,http://kele666.serv00.net/Smart.php?id=itv2_antik
Euronews,http://kele666.serv00.net/Smart.php?id=euronews_antik
Channel 4,http://kele666.serv00.net/Smart.php?id=channel4_antik
BBC World News,http://kele666.serv00.net/Smart.php?id=bbcworldnews_antik

越南频道,#genre# 
ANTV,http://kele666.serv00.net/Smart.php?id=viet_antv
VTV 1,http://kele666.serv00.net/Smart.php?id=viet_vtv1
VTV 7,http://kele666.serv00.net/Smart.php?id=viet_vtv7
HTV 7,http://kele666.serv00.net/Smart.php?id=viet_htv7
HTV 9,http://kele666.serv00.net/Smart.php?id=viet_htv9
BPTV 2,http://kele666.serv00.net/Smart.php?id=viet_bptv2
BRT HD,http://kele666.serv00.net/Smart.php?id=viet_brt
Ca Mau TV,http://kele666.serv00.net/Smart.php?id=viet_camautv
Danang TV1 HD,http://kele666.serv00.net/Smart.php?id=viet_danangtv1
